hospital,servico,disponivel,observacao,atualizado_em,fonte
Maternidade Escola Assis Chateaubriand,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Maternidade Escola Assis Chateaubriand,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Município de Tianguá,Clínica de Terapia Renal Substitutiva,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
SOPAI - Hospital Luís de França,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
SOPAI - Hospital Luís de França,UTI Pediátrica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
SOPAI - Hospital Luís de França,UTI Pediátrica 2,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Santa Casa de Misericórdia de Fortaleza,Cirúrgica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Santa Casa de Misericórdia de Fortaleza,Clínica Médica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Santa Casa de Misericórdia de Fortaleza,Oncológica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Santa Casa de Misericórdia de Fortaleza,Traumato Ortopédica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Santa Casa de Misericórdia de Sobral,Serviço de Alta Complexidade de Traumato Ortopedia,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Municipal de Acopiara,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Municipal de Acopiara,Saúde Mental,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Municipal de Acopiara,Cirurgia Médica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Cirurgia Geral,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Clínica Médica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Traumato-Ortopédica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Icó Deputado Oriel Guimarães Nunes,Saúde Mental,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,Traumato-Ortopédica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,Saúde Mental,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Regional de Iguatu,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Agenor Araújo,Clínica Médica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Agenor Araújo,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Agenor Araújo,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Cirurgia Geral,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Clínica Médica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Traumato-Ortopédica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto Madre Tereza de Apoio à Vida,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Instituto da Criança Menino Jesus de Praga,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
